model,MAE,RMSE,R2,rho,n,grouped_cv
CpG+GC | Ridge,14.36770732137892,20.905864202592923,0.08599124779203222,0.5587878787878788,46,False
k-mers | Ridge,21.395780572891233,29.98704331375712,-1.7844174940750748,0.29393939393939394,46,False
All | Ridge,21.359600381851198,29.953682096182774,-1.7846337954266058,0.29393939393939394,46,False
